customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
C0954,Female,0,No,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.86,4783.07
C0955,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.34,980.3
C0956,Female,0,Yes,No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,91.55,3453.19
C0957,Male,0,Yes,No,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,98.68,2485.96
C0958,Female,1,No,No,14,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,26.15,391.22
C0959,Female,0,No,Yes,10,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),88.8,910.89
C0960,Female,0,Yes,Yes,70,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),106.01,6799.89
C0961,Female,1,No,Yes,30,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.25,2346.95
C0962,Female,0,No,No,62,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),44.46,2519.04
C0963,Male,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.53,547.02
C0964,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),97.67,3902.61
C0965,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),27.46,179.49
C0966,Male,0,No,Yes,5,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,118.03,557.81
C0967,Male,0,No,No,21,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.46,1833.91
C0968,Male,0,No,No,21,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),97.81,2139.79
C0969,Female,1,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,78.99,2249.25
C0970,Male,1,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.97,5305.63
C0971,Male,0,No,No,57,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),51.55,2896.44
C0972,Male,0,No,No,14,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.77,1433.87
C0973,Female,0,No,Yes,48,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.27,5245.07
C0974,Female,0,No,No,45,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),71.35,3469.59
C0975,Male,0,Yes,No,39,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,65.11,2532.01
C0976,Male,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,118.97,6064.64
C0977,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,53.51,917.46
C0978,Female,0,No,Yes,35,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),83.67,2645.64
C0979,Female,0,Yes,No,34,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,66.15,2403.83
C0980,Female,0,No,Yes,36,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),22.71,763.73
C0981,Male,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,78.49,4018.99
C0982,Male,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),50.2,929.46
C0983,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,43.84,672.78
C0984,Female,1,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.33,3089.53
C0985,Male,0,Yes,Yes,42,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),61.05,2437.82
C0986,Male,1,Yes,Yes,9,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,33.44,299.47
C0987,Female,0,No,Yes,60,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,56.41,3359.09
C0988,Male,0,Yes,Yes,53,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),116.13,5601.05
C0989,Male,0,Yes,No,7,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),83.44,577.51
C0990,Female,0,No,Yes,15,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,112.36,1591.05
C0991,Female,1,No,No,57,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),116.8,6081.27
C0992,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),79.64,4731.06
C0993,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,74.09,4897.16
C0994,Male,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,57.82,2655.57
C0995,Female,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,105.87,6387.09
C0996,Male,0,No,No,8,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),105.75,767.4
C0997,Male,0,No,Yes,72,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,99.82,7050.15
C0998,Male,1,No,Yes,52,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,89.28,4236.07
C0999,Male,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.45,933.81
C1000,Female,0,No,Yes,33,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,92.52,3346.2
C1001,Female,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,32.23,121.67
C1002,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.76,176.54
C1003,Male,0,Yes,No,27,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),118.51,3142.76
C1004,Male,0,No,No,36,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,106.36,3932.97
C1005,Female,0,No,No,23,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),88.93,1878.83
C1006,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),96.25,6250.92
C1007,Male,0,No,Yes,14,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),65.88,901.53
C1008,Female,1,No,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.76,5572.54
C1009,Female,0,No,No,30,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,22.22,633.34
C1010,Female,1,No,No,70,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),60.02,3980.6
C1011,Male,0,No,No,34,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),48.84,1749.74
C1012,Male,1,Yes,Yes,53,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),52.07,2669.35
C1013,Male,0,Yes,Yes,49,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,76.46,3766.68
C1014,Male,1,Yes,No,2,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,75.57,141.98
C1015,Male,0,No,Yes,16,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,86.33,1355.72
C1016,Male,0,No,No,71,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,40.85,3008.91
C1017,Male,0,No,No,47,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,101.57,4526.96
C1018,Male,0,Yes,No,61,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),86.43,5115.26
C1019,Male,0,No,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.41,1359.52
C1020,Female,1,Yes,Yes,21,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),58.43,1220.57
C1021,Female,0,No,Yes,41,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,61.45,2720.79
C1022,Female,0,Yes,Yes,56,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),40.95,2295.54
C1023,Female,0,Yes,No,34,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,72.98,2313.39
C1024,Female,0,Yes,No,20,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),94.21,2023.1
C1025,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,102.79,3157.79
C1026,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.22,1250.03
C1027,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.61,1411.1
C1028,Male,0,Yes,No,38,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),88.49,3532.84
C1029,Female,0,No,No,31,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),83.42,2813.35
C1030,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,20.69,437.9
C1031,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),114.32,4730.95
C1032,Male,1,No,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.83,4142.63
C1033,Male,1,No,No,48,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,73.35,3272.41
C1034,Male,0,No,No,71,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),68.07,5246.96
C1035,Male,1,No,No,27,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,101.52,3013.19
C1036,Male,1,Yes,No,37,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),104.78,4026.18
C1037,Female,1,No,No,48,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,58.98,2810.84
C1038,Female,0,No,No,48,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),109.42,5105.24
C1039,Female,1,Yes,Yes,23,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,47.87,1173.52
C1040,Male,0,Yes,No,2,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),104.61,213.07
C1041,Male,0,No,No,49,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,45.7,2048.11
C1042,Male,1,Yes,Yes,53,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,89.54,4470.86
C1043,Male,0,Yes,No,42,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,39.64,1750.23
C1044,Female,0,Yes,No,66,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,22.45,1501.99
C1045,Female,1,Yes,No,48,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.01,4168.69
C1046,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,54.26,3817.32
C1047,Female,0,Yes,No,67,Yes,No phone service,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),119.76,8067.2
C1048,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),21.59,130.95
C1049,Female,0,No,No,63,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),78.05,4728.08
C1050,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,64.54,1467.9
C1051,Male,0,Yes,No,11,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,49.1,502.51
C1052,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,29.99,1246.31
C1053,Female,0,Yes,No,5,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,67.82,308.85
C1054,Female,0,Yes,Yes,59,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),115.43,6313.35
C1055,Female,0,Yes,No,55,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,73.62,3685.59
C1056,Female,0,No,No,39,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.02,1878.4
C1057,Male,0,No,No,25,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),78.84,2097.07
C1058,Male,0,Yes,Yes,67,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),54.28,3507.11
C1059,Female,1,Yes,No,55,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),103.82,5684.12
C1060,Male,1,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,115.56,4929.13
C1061,Female,0,Yes,No,46,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.6,4994.55
C1062,Male,0,No,No,26,Yes,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,36.32,946.47
C1063,Female,1,No,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),55.86,2046.35
C1064,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,61.7,171.6
C1065,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),84.52,325.44
C1066,Male,1,Yes,Yes,3,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,73.95,238.77
C1067,Male,0,No,No,37,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),46.54,1872.97
C1068,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,93.17,
C1069,Female,0,Yes,Yes,18,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,65.07,1145.66
C1070,Male,0,No,Yes,22,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.06,1120.04
C1071,Male,0,No,Yes,6,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,61.72,374.7
C1072,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),61.56,803.28
C1073,Female,1,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),85.62,2182.07
C1074,Female,0,No,Yes,43,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,111.89,5137.63
C1075,Female,1,Yes,No,22,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,51.7,1195.93
C1076,Female,0,No,Yes,37,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,66.39,2287.22
C1077,Female,1,Yes,No,66,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),78.52,4994.72
C1078,Female,1,No,Yes,39,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),42.05,1791.96
C1079,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,76.12,2225.31
C1080,Female,1,Yes,No,70,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),48.69,3525.3
C1081,Male,0,No,No,59,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),44.83,2633.55
C1082,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,79.97,1131.75
C1083,Male,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.26,1254.77
C1084,Male,0,Yes,No,1,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),111.88,107.04
C1085,Male,0,No,Yes,20,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),20.99,412.15
C1086,Female,0,Yes,No,46,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),118.71,5995.47
C1087,Female,0,Yes,No,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.69,1373.39
C1088,Male,1,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.2,2141.61
C1089,Male,1,No,No,4,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Mailed check,75.85,315.46
C1090,Female,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),62.79,3513.25
C1091,Female,1,No,No,65,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),119.74,7784.03
C1092,Male,0,Yes,No,29,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),36.35,970.28
C1093,Female,1,No,No,31,Yes,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.28,2688.35
C1094,Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,55.75,2145.91
C1095,Female,0,Yes,No,44,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),90.2,3850.08
C1096,Female,0,Yes,Yes,48,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,93.08,4553.0
C1097,Female,1,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),87.55,4500.17
C1098,Male,0,Yes,No,65,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,97.61,6484.28
C1099,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.64,1766.88
C1100,Male,0,Yes,No,30,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),83.5,2705.56
C1101,Female,0,No,No,56,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,107.17,6559.8
C1102,Female,1,Yes,No,20,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),20.97,454.06
C1103,Male,0,No,No,24,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,36.78,897.85
C1104,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),81.14,1908.49
C1105,Male,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.73,2184.37
C1106,Female,0,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,100.45,3355.14
C1107,Male,0,Yes,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.91,669.24
C1108,Female,0,Yes,No,45,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),86.47,3642.87
C1109,Female,0,Yes,No,69,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.59,6470.91
C1110,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.27,1974.86
C1111,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,45.72,2408.62
C1112,Female,0,Yes,No,22,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,51.34,1030.39
C1113,Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),47.16,2792.86
C1114,Male,0,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),63.03,2901.92
C1115,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,26.25,672.22
C1116,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,1716.74
C1117,Female,0,No,No,28,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),96.63,2662.5
C1118,Male,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,74.09,1171.12
C1119,Female,0,Yes,No,16,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,118.39,1723.0
C1120,Female,0,Yes,No,53,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.59,4070.7
C1121,Male,0,No,Yes,24,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,98.33,2219.06
C1122,Male,1,Yes,No,60,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.77,2689.98
C1123,Male,0,Yes,No,25,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),26.09,625.65
C1124,Female,0,Yes,Yes,61,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),107.31,7129.7
C1125,Female,0,Yes,Yes,29,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,32.2,936.65
C1126,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.12,2302.52
C1127,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,108.21,2470.51
C1128,Female,0,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.19,3669.46
C1129,Female,0,No,No,63,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,26.91,1599.17
C1130,Male,0,No,Yes,63,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),76.84,5257.18
C1131,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,54.3,3054.2
C1132,Female,0,No,No,34,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),26.87,1000.15
C1133,Female,0,Yes,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),59.83,3189.95
C1134,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,67.7,387.15
C1135,Male,1,No,No,33,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),41.15,1431.06
C1136,Female,0,No,No,57,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),43.18,2553.28
C1137,Female,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.74,606.31
C1138,Male,1,No,No,36,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Mailed check,21.73,744.0
